csv_line_id,element_id,thematic_surface,parent_id,element_gml_id,has_holes,related_to,geometry_wkt,construction_gmlid
98,84,party_wall,82,444eb222-59d7-482c-ba7e-195549f7b4f6,False,[40],"MULTIPOLYGON Z (((-53.716 13.593 3.052, -53.716 13.593 6.657, -53.723 14.022 6.657, -53.723 14.022 3.052, -53.716 13.593 3.052)))",LayeredConstr_id_0014
99,85,party_wall,82,599dd620-eb47-4fef-a164-e467f60d6d4a,False,[39],"MULTIPOLYGON Z (((-53.723 14.022 3.052, -53.723 14.022 6.657, -46.148 14.162 6.657, -46.148 14.162 3.052, -53.723 14.022 3.052)))",LayeredConstr_id_0014
100,86,party_wall,82,95894275-3b40-49d5-b29c-780c6170be9e,False,[92],"MULTIPOLYGON Z (((-46.148 14.162 6.657, -46.039 6.515 6.657, -46.039 6.515 3.052, -46.148 14.162 3.052, -46.148 14.162 6.657)))",LayeredConstr_id_0012
101,87,external,82,233379cd-1d76-496e-bb82-67d24aa56ed5,False,[],"MULTIPOLYGON Z (((-46.039 6.515 6.657, -53.612 6.403 6.657, -53.612 6.403 3.052, -46.039 6.515 3.052, -46.039 6.515 6.657)))",LayeredConstr_id_0116
102,87,external_with_hole,82,233379cd-1d76-496e-bb82-67d24aa56ed5,True,[],"MULTIPOLYGON Z (((-53.612 6.402999999999999 6.657, -53.612 6.402999999999999 3.052, -46.039 6.514999999999999 3.052, -46.039 6.514999999999999 6.657, -53.612 6.402999999999999 6.657), (-53.06598632286079 6.411075205577656 4.594, -46.14399182495619 6.513447235653625 4.594, -46.14399182495619 6.513447235653625 5.927, -53.06598632286079 6.411075205577656 5.927, -53.06598632286079 6.411075205577656 4.594)))",LayeredConstr_id_0116
103,90,ceiling,82,2828988c-044d-4ef7-80f1-460bd329233b,False,[],"MULTIPOLYGON Z (((-53.612 6.403 6.657, -46.039 6.515 6.657, -46.148 14.162 6.657, -53.723 14.022 6.657, -53.716 13.593 6.657, -53.612 6.403 6.657)))",LayeredConstr_id_0108
104,89,floor,82,539beb23-1f6e-4437-9003-c1685ab14fda,False,[],"MULTIPOLYGON Z (((-53.612 6.403 3.052, -53.716 13.593 3.052, -53.723 14.022 3.052, -46.148 14.162 3.052, -46.039 6.515 3.052, -53.612 6.403 3.052)))",LayeredConstr_id_0109
105,88,window,87,90e25653-2030-4260-b9d6-7aa1f907951a,True,[],"MULTIPOLYGON Z (((-46.144 6.514 4.594, -46.144 6.514 5.927, -53.066 6.412 5.927, -53.066 6.412 4.594, -46.144 6.514 4.594)))",LayeredConstr_id_0106
106,91,room,0,e1105728-e9ed-4750-8031-6e9405868969,,[],,
107,92,party_wall,91,2cf47bac-decc-4882-bc03-4c9679f410ed,False,[86],"MULTIPOLYGON Z (((-46.039 6.515 6.657, -46.148 14.162 6.657, -46.148 14.162 3.052, -46.039 6.515 3.052, -46.039 6.515 6.657)))",LayeredConstr_id_0012
